,comp_names,comp_ratings,comp_reviews,comp_salarys,comp_interviews,comp_jobss,comp_olds,comp_locations
95,Ashok Leyland,4.1,4.2k,18.2k,156,1,76 years old,Chennai +205 more
96,Apollo Hospitals,4.1,4.2k,14.9k,211,231,41 years old,Chennai +181 more
97,JLL,4.2,4.2k,20.1k,210,23,27 years old,Mumbai +68 more
98,Siemens,4.2,4.2k,30.2k,247,1.3k,177 years old,Munich +127 more
99,Vivo,4.1,4.1k,13.8k,143,5,15 years old,Gurgaon/Gurugram +373 more
100,Omega Healthcare,3.8,4.1k,20k,227,75,21 years old,Florida +43 more
101,Megha Engineering & Infrastructures,4.0,4.1k,14.6k,294,6,35 years old,Hyderabad/Secunderabad +292 more
102,JustDial,3.5,4k,14.8k,228,104,28 years old,Mumbai +176 more
103,First Source,3.8,4k,20k,187,148,23 years old,Mumbai +53 more
104,Hero MotoCorp,4.2,4k,14.2k,249,7,40 years old,Gurgaon/Gurugram +311 more
105,Bajaj Allianz Life Insurance,4.1,3.9k,15.1k,211,37,23 years old,Pune +497 more
106,Mahindra & Mahindra Financial Services,4.3,3.9k,11k,98,40,33 years old,Mumbai +632 more
107,D Mart,3.9,3.8k,13.6k,243,111,24 years old,Mumbai +208 more
108,Cyient,3.8,3.8k,26k,184,231,33 years old,Hyderabad/Secunderabad +34 more
109,ICICI Lombard General Insurance Company,3.8,3.8k,17k,178,206,23 years old,Mumbai +258 more
110,BigBasket,4.0,3.8k,15.2k,255,84,13 years old,Bangalore +114 more
111,Coforge,3.5,3.8k,36.4k,272,205,20 years old,Noida +85 more
112,Indiamart Intermesh,3.6,3.8k,17.7k,367,916,28 years old,Noida +136 more
113,Virtusa Consulting Services,3.8,3.7k,50.4k,302,131,28 years old,Southborough +37 more
114,Equitas Small Finance Bank,4.4,3.7k,11.3k,124,11,17 years old,Chennai +363 more
115,TVS Motor,4.0,3.7k,13.9k,199,19,45 years old,Chennai +275 more
116,GlobalLogic,3.7,3.6k,31.7k,310,86,24 years old,San Jose +32 more
117,Manappuram Finance,3.9,3.6k,7.7k,106,8,75 years old,Thrissur/Trichur +490 more
118,Hewlett-Packard Enterprise,4.3,3.6k,31.7k,137,36,9 years old,Houston +89 more
119,UST,3.8,3.6k,35.8k,270,137,23 years old,Aliso Viejo +35 more
120,Nagarro,4.2,3.5k,25.1k,436,72,28 years old,Munich +39 more
121,Atos Syntel,3.6,3.5k,35.4k,182,48,44 years old,Troy +23 more
122,SBI Cards & Payment Services,3.7,3.5k,15k,168,156,26 years old,Gurgaon/Gurugram +331 more
123,Cummins,4.4,3.5k,14.7k,184,28,62 years old,Columbus +104 more
124,Reliance Communications,3.9,3.5k,12.4k,67,2,22 years old,Navi Mumbai +422 more
125,IQVIA,4.0,3.5k,26.7k,284,40,42 years old,Durham +41 more
126,Bosch Global Software Technologies,4.1,3.5k,34.8k,205,4,34 years old,Gerlingen +30 more
127,Bosch,4.3,3.5k,19.9k,210,10,138 years old,Gerlingen +99 more
128,SMFG India Credit,4.1,3.5k,10.7k,96,49,17 years old,Mumbai +481 more
129,Cholamandalam Investment & Finance,4.0,3.5k,9.8k,108,10,46 years old,Chennai +627 more
130,Ekart Logistics,4.1,3.5k,8.4k,201,--,15 years old,San Francisco +559 more
131,BNY Mellon,4.1,3.4k,28.2k,194,486,20 years old,New York City +14 more
132,Schneider Electric,4.1,3.4k,20.7k,210,192,25 years old,Paris +113 more
133,Hyundai Motor,4.4,3.4k,13.1k,181,2,57 years old,Seoul +259 more
134,Oyo Rooms,3.4,3.4k,24.6k,159,176,11 years old,Gurgaon +117 more
135,Amdocs,4.0,3.4k,35.2k,334,3,42 years old,Chesterfield +15 more
136,L&T Technology Services,3.4,3.4k,32k,266,1,12 years old,Vadodara/Baroda +46 more
137,CBRE,4.2,3.3k,15.7k,160,115,118 years old,Los Angeles +71 more
138,BT Group,4.1,3.3k,10.9k,94,37,178 years old,London +18 more
139,State Bank of India,3.7,3.3k,10.3k,160,181,218 years old,Mumbai +478 more
